建案名稱,總價,格局/地坪,建坪,位置,網站
左岸大邁2,None,位址:,社區,安南區新宅一街20號,https://tainan.housetube.tw/38634
誠銳天籟－大樓,None,位址:,社區,佳里區安南路與復興路口,https://tainan.housetube.tw/38619
佳佳園(已完銷),None,位址:,社區,善化區胡厝寮220-1號對面,https://tainan.housetube.tw/38612
翡翠長盈3,None,位址:,社區,西港區忠孝街,https://tainan.housetube.tw/38605
富裕名邸2,None,56~73,安南區大聖一街,安南區大聖一街,https://tainan.housetube.tw/38589
富裕名邸,None,90~101,安南區州南五街270號,安南區州南五街270號,https://tainan.housetube.tw/38586
金莎麗緻9,None,50起,台南市安南區慈興六街,台南市安南區慈興六街,https://tainan.housetube.tw/38585
印象米蘭,None,46~54,台南市安南區安興街,台南市安南區安興街,https://tainan.housetube.tw/38583
棻多晶,None,48.4起,安南區海佃路四段334號旁,安南區海佃路四段334號旁,https://tainan.housetube.tw/38551
MoMA15十萃,None,27~27,位址:,東區崇德路950號旁,https://tainan.housetube.tw/38510
好御兆5,None,102,永康區大民街,永康區大民街,https://tainan.housetube.tw/38509
草風堂9小春日和,None,49~80,仁德區仁義四街109號,仁德區仁義四街109號,https://tainan.housetube.tw/38495
清境莊園3,None,49.3起,未提供,未提供,https://tainan.housetube.tw/38491
上金鑽,None,未提供,位址:,麻豆區(新生南路近民權路),https://tainan.housetube.tw/38475
玄鴻首賦八期,None,未提供,位址:,佳里區鎮山街159號旁,https://tainan.housetube.tw/38473
天晴晴天6,None,108~108,安南區慈興路113號,安南區慈興路113號,https://tainan.housetube.tw/38439
遇見幸福,None,位址:,社區,台南市安南區佃西路50號,https://tainan.housetube.tw/38438
人文私坊11,None,28起,麻豆區華南銀行斜對面，85度C正後方,麻豆區華南銀行斜對面，85度C正後方,https://tainan.housetube.tw/38423
清庭5華美館,None,55.9~74,新市區南昌街58號,新市區南昌街58號,https://tainan.housetube.tw/38410
理想雙春園,None,47.67~77.78,玉井區望明段135-26地號,玉井區望明段135-26地號,https://tainan.housetube.tw/38396
西門大院,None,24~52,北區西門路四段357號,北區西門路四段357號,https://tainan.housetube.tw/38387
合恆.紳鄰,None,45~63,安南區安中路四段211巷,安南區安中路四段211巷,https://tainan.housetube.tw/38375
誠美拾光,None,位址:,社區,民權路四段和頂美一街,https://tainan.housetube.tw/38370
和都新時代,None,位址:,最新推案,永康區王行路910號,https://tainan.housetube.tw/38369
五十皇冠3,None,未提供,安南區州南七街和安和路四段533巷口,安南區州南七街和安和路四段533巷口,https://tainan.housetube.tw/38368
玄鴻首賦七期,None,53~82,佳里區安南路,佳里區安南路,https://tainan.housetube.tw/38357
為有巢2,None,未提供,安南區公學路7段113號,安南區公學路7段113號,https://tainan.housetube.tw/38348
溫馨園,None,28起,仁德區長興四街90巷1號,仁德區長興四街90巷1號,https://tainan.housetube.tw/38345
成大昱華,None,未提供,未提供,未提供,https://tainan.housetube.tw/38331
森億居,None,75~96,關廟區關新路二段103巷,關廟區關新路二段103巷,https://tainan.housetube.tw/38329
寶豐庭1,None,位址:,明星學區,永康區中華西街85巷,https://tainan.housetube.tw/38328
美鷺彎,None,未提供,台南市新市區三舍,台南市新市區三舍,https://tainan.housetube.tw/38319
白京京耀,None,53~64,仁德區德崙路77巷114弄,仁德區德崙路77巷114弄,https://tainan.housetube.tw/38309
逸墅家5,None,26~29,位址:,佳里區佳南路和勝利路口,https://tainan.housetube.tw/38306
築夢家園10,None,48~65,山上區玉二段1000地號,山上區玉二段1000地號,https://tainan.housetube.tw/38296
寶家,None,56.4起,將軍區忠寮76-10號,將軍區忠寮76-10號,https://tainan.housetube.tw/38287
香榭DC.3,None,51~76,中正路三段162巷,中正路三段162巷,https://tainan.housetube.tw/38276
臻邸,None,100.7起,永康區王行路224巷30號,永康區王行路224巷30號,https://tainan.housetube.tw/38275
吉祥園庭8,None,97起,北區中華北路一段203巷69號,北區中華北路一段203巷69號,https://tainan.housetube.tw/38273
璽硯12,None,未提供,位址:,歸仁區大仁街,https://tainan.housetube.tw/38270
力漢寬庭八期,None,66~87,安南區溪東二街,安南區溪東二街,https://tainan.housetube.tw/38269
家薪,None,39~46,西港區成功段771地號,西港區成功段771地號,https://tainan.housetube.tw/38266
鼎翔榮耀,None,22起,位址:,台南市永康區中山路375號,https://tainan.housetube.tw/38264
禾也3,None,44,位址:,安平區世平路180號,https://tainan.housetube.tw/38248
大億傳家雙車墅,None,52起,西港區大塭寮,西港區大塭寮,https://tainan.housetube.tw/38240
晶硯,None,位址:,明星學區,台南市學甲區秀昌里6鄰下溪洲10號,https://tainan.housetube.tw/38222
富裕人生No.17,None,24.1~30.1,位址:,安南區公學路五段627號(南興國小對面),https://tainan.housetube.tw/38220
澄田・富邑II,None,49.15~67.33,台南市官田區隆田車站全聯後方,台南市官田區隆田車站全聯後方,https://tainan.housetube.tw/38215
臺邦交響悅,None,未提供,麻豆區新生南路和成功街口,麻豆區新生南路和成功街口,https://tainan.housetube.tw/38200
心拾富,None,51~69,學甲區八德街85號,學甲區八德街85號,https://tainan.housetube.tw/38174
世界巨星,None,36~51,東區平實路 x 後甲三街,東區平實路 x 後甲三街,https://tainan.housetube.tw/38171
家家富富,None,40~42,台南市西港區双營段97-1地號,台南市西港區双營段97-1地號,https://tainan.housetube.tw/38170
三代墅NO.13,None,62~86,新營區新南二路,新營區新南二路,https://tainan.housetube.tw/38169
漫墅家3,None,70.9~76.4,善化區中和街27號,善化區中和街27號,https://tainan.housetube.tw/38155
好意園23期,None,55~69,台南市安南區布袋三街&布袋一街口,台南市安南區布袋三街&布袋一街口,https://tainan.housetube.tw/38141
歐香公園NO.22大馥,None,105起,安南區鎮安六街(鎮安重劃區),安南區鎮安六街(鎮安重劃區),https://tainan.housetube.tw/38130
南科首府,None,未提供,新市區大洲43-17號,新市區大洲43-17號,https://tainan.housetube.tw/38127
好御兆6,None,23.1~24.2,位址:,台南市佳里區仁愛路上,https://tainan.housetube.tw/38126
禮享家,None,未提供,北區育成路191巷,北區育成路191巷,https://tainan.housetube.tw/38113
大塊先生18,None,未提供,東區明東街88號,東區明東街88號,https://tainan.housetube.tw/38095
大京藏3,None,27.5~31.4,佳里區文化路450號旁,佳里區文化路450號旁,https://tainan.housetube.tw/38084
原墅25期,None,50~55,台南市安南區海環街313號,台南市安南區海環街313號,https://tainan.housetube.tw/38079
賀采5期,None,47.1~67.3,西港區文化路(西港國中旁),西港區文化路(西港國中旁),https://tainan.housetube.tw/38064
清禾田6,None,121起,台南市安南區樂活26街35號,台南市安南區樂活26街35號,https://tainan.housetube.tw/38053
四季賞~透天,None,60起,台南市永康區復國一路475巷26號,台南市永康區復國一路475巷26號,https://tainan.housetube.tw/38052
四季賞~華廈,None,位址:,近捷運,永康區復國一路475巷22號,https://tainan.housetube.tw/38046
連建聿東,None,42~43,未提供,未提供,https://tainan.housetube.tw/38034
富凰3.0,None,位址:,社區,新化區頂山腳53-409號旁,https://tainan.housetube.tw/38030
瑞士山莊7期,None,70起,七股區義合里21號旁,七股區義合里21號旁,https://tainan.housetube.tw/38027
永吉2,None,50~55.8,台南市安南區鎮安路與鎮安七街口,台南市安南區鎮安路與鎮安七街口,https://tainan.housetube.tw/38023
植建築,None,位址:,明星學區,台南市安南區安生街,https://tainan.housetube.tw/38018
中華奇蹟,None,60~77,新營中華路旁,新營中華路旁,https://tainan.housetube.tw/38017
皇邑,None,位址:,社區,台南市南區利南街35號,https://tainan.housetube.tw/38005
謙福2,None,位址:,低總價,台南市安南區安中路四段211巷,https://tainan.housetube.tw/37993
花見小路,None,46.9~50.5,安南區城北路736巷,安南區城北路736巷,https://tainan.housetube.tw/37989
萬里常辰,None,50~61,善化區中山路上,善化區中山路上,https://tainan.housetube.tw/37982
有樂事6-天下歸仁,None,27~28,歸仁區區公所旁(大通路100巷),歸仁區區公所旁(大通路100巷),https://tainan.housetube.tw/37974
文青學苑,None,未提供,麻豆國中旁,麻豆國中旁,https://tainan.housetube.tw/37973
卓悅NO.6,None,50~67,安平區世平五街,安平區世平五街,https://tainan.housetube.tw/37951
漫墅家5,None,58.4~65.3,台南市善化區茄拔段一小段680-2號,台南市善化區茄拔段一小段680-2號,https://tainan.housetube.tw/37948
皇寶5,None,位址:,…,歸仁區六甲路197號,https://tainan.housetube.tw/37936
5福霖門2期,None,50~65,西港區成功段569地號,西港區成功段569地號,https://tainan.housetube.tw/37918
上璟3,None,55~58,台南市安南區慈興路與慈興7街,台南市安南區慈興路與慈興7街,https://tainan.housetube.tw/37837
永華馥御,None,37起,位址:,永康區永華路312號,https://tainan.housetube.tw/37811
一森青2,None,未提供,台南市仁德區中正路二段221號(德南國小旁),台南市仁德區中正路二段221號(德南國小旁),https://tainan.housetube.tw/37810
適幸福8,None,位址:,低公設,安南區海中街與海中街130巷口,https://tainan.housetube.tw/37793
億達春夏2.0,None,64.5起,仁德區保生段55-1~55-13地號,仁德區保生段55-1~55-13地號,https://tainan.housetube.tw/37792
森丰景,None,98起,安南區州南七街和州南二街,安南區州南七街和州南二街,https://tainan.housetube.tw/37785
四維首席,None,59起,佳里區四維二街,佳里區四維二街,https://tainan.housetube.tw/37784
淺草3,None,60~63,學甲區秀昌里4鄰一秀,學甲區秀昌里4鄰一秀,https://tainan.housetube.tw/37783
墅慕,None,84.6,台南市安平區建平五街132巷36號,台南市安平區建平五街132巷36號,https://tainan.housetube.tw/37749
曉白,None,未提供,關廟區長文街135巷17號,關廟區長文街135巷17號,https://tainan.housetube.tw/37735
朋緯不二2,None,未提供,台南市善化區北子店段二小段453-1號,台南市善化區北子店段二小段453-1號,https://tainan.housetube.tw/37726
日出,None,30.8起,位址:,關廟區北安二街51號對面,https://tainan.housetube.tw/37701
佳里帝鑫,None,36~39,位址:,佳里區安西路149巷旁,https://tainan.housetube.tw/37690
璽硯11,None,80~100,台南市歸仁區大成路182巷,台南市歸仁區大成路182巷,https://tainan.housetube.tw/37682
鼎茂經典10,None,未提供,仁德區行大一街,仁德區行大一街,https://tainan.housetube.tw/37681
福灣寬庭7,None,位址:,社區,台南市南區萬年一街與萬年八街口,https://tainan.housetube.tw/37679
巨象鴻院,None,45起,台南市官田區二鎮里工社西街3巷47號,台南市官田區二鎮里工社西街3巷47號,https://tainan.housetube.tw/37671
科技匯,None,24~31,位址:,永康區王行路549號(旁),https://tainan.housetube.tw/37626
陽光樹,None,位址:,社區,西拉雅大道,https://tainan.housetube.tw/37624
順心,None,未提供,位址:,台南市關廟區仁愛路30號,https://tainan.housetube.tw/37623
禾風居,None,位址:,社區,台南市善化區信義路213號,https://tainan.housetube.tw/37614
柚見幸福,None,未提供,台南市麻豆區寮子部64-9號,台南市麻豆區寮子部64-9號,https://tainan.housetube.tw/37604
太齊璞真,None,42.5~48.9,六甲區七甲街51巷,六甲區七甲街51巷,https://tainan.housetube.tw/37594
汶鼎,None,45.3起,位址:,麻豆區興中路228號全聯旁,https://tainan.housetube.tw/37585
隋唐金華2期,None,46~90,新營區隋唐街、復興路(全聯後面),新營區隋唐街、復興路(全聯後面),https://tainan.housetube.tw/37583
晨愛邑12,None,49~57.2,安定區許中營1-70號,安定區許中營1-70號,https://tainan.housetube.tw/37574
如意2,None,位址:,社區,麻豆區文昌路37號旁,https://tainan.housetube.tw/37571
吾映良品16,None,39.3~46.8,佳里溪州,佳里溪州,https://tainan.housetube.tw/37530
瀞巷-輕隱居,None,位址:,低自備,台南市麻豆區新生南路611號旁巷子進入,https://tainan.housetube.tw/37519
日東昇恆美3,None,44.9~59.9,高雄市茄萣區尚義街115號,高雄市茄萣區尚義街115號,https://tainan.housetube.tw/37517
札哈木,None,170,安平區育平九街,安平區育平九街,https://tainan.housetube.tw/37500
好事HOUSE2,None,87.7起,台南市北區和緯路五段26巷9號,台南市北區和緯路五段26巷9號,https://tainan.housetube.tw/37496
舜發富貴3,None,22.9起,位址:,安定區港口390之2號,https://tainan.housetube.tw/37491
翠弄堂,None,位址:,社區,中西區南門路97巷12號,https://tainan.housetube.tw/37488
藏金2,None,未提供,未提供,未提供,https://tainan.housetube.tw/37473
藏美輕井澤2,None,33,位址:,安南區郡安路六段(近永續路口),https://tainan.housetube.tw/37457
佳鋐謙邑,None,28~39.6,台南市安平區育平路100號,台南市安平區育平路100號,https://tainan.housetube.tw/37455
晨愛邑11期,None,51.9~55,安定區許中營65-5號,安定區許中營65-5號,https://tainan.housetube.tw/37453
樂沐學東,None,位址:,社區,安南區慈興七街,https://tainan.housetube.tw/37446
大器2,None,未提供,台南市新市區大營里158號前,台南市新市區大營里158號前,https://tainan.housetube.tw/37435
逸墅家6,None,未提供,台南市安定區港南里41號對面,台南市安定區港南里41號對面,https://tainan.housetube.tw/37434
戀家19期,None,位址:,社區,台南市新市區大營里11鄰252號旁,https://tainan.housetube.tw/37427
仁里名墅,None,82起,台南市下營區仁里街49巷,台南市下營區仁里街49巷,https://tainan.housetube.tw/37421
心想事成7,None,43.5起,位址:,台南市歸仁區文化街三段167-173號,https://tainan.housetube.tw/37418
捷市GO5,None,52.7~53.6,台南市新市區富林路和光明街口,台南市新市區富林路和光明街口,https://tainan.housetube.tw/37414
築夢家園9,None,位址:,社區,台南市安南區布袋路,https://tainan.housetube.tw/37407
聿川町,None,位址:,最新推案,台南市東區大同路一段141巷9號旁,https://tainan.housetube.tw/37406
東拾金鑽3,None,30起,位址:,台南市仁德區中正路一段262-5,https://tainan.housetube.tw/37397
賢者居3,None,71起,台南市東區崇善二街,台南市東區崇善二街,https://tainan.housetube.tw/37391
東堡二期,None,24.2~25.4,位址:,關廟區北安二街230號,https://tainan.housetube.tw/37390
呈豐日日20,None,位址:,社區,台南市仁德區成功一街131巷36號,https://tainan.housetube.tw/37381
薪厝5,None,位址:,社區,仁德區德洋二街39巷6號,https://tainan.housetube.tw/37372
漁光三間堂,None,87,安平區漁光路89巷53號,安平區漁光路89巷53號,https://tainan.housetube.tw/37369
好事HOUSE,None,22.8~35.8,歸仁區六甲路,歸仁區六甲路,https://tainan.housetube.tw/37367
微風U2,None,30.2起,位址:,南區永成路三段371號,https://tainan.housetube.tw/37359
金色風采NO.10,None,52.7~54.9,新化區崙仔頂285-2號對面,新化區崙仔頂285-2號對面,https://tainan.housetube.tw/37358
金色風采NO.9,None,57.9~58.3,歸仁區丁厝街35巷38號旁,歸仁區丁厝街35巷38號旁,https://tainan.housetube.tw/37357
祥福居8,None,33~45,位址:,台南市麻豆區埤頭里1鄰埤頭,https://tainan.housetube.tw/37340
金色臻品NO.5,None,44.1起,位址:,北區文賢三街320巷38號,https://tainan.housetube.tw/37335
漢川雲想NO.5,None,位址:,社區,新營區新南一路,https://tainan.housetube.tw/37329
國家強棒,None,21~37,歸仁13路&高發二路,歸仁13路&高發二路,https://tainan.housetube.tw/37306
MoMA12築日,None,57起,歸仁區信義南路,歸仁區信義南路,https://tainan.housetube.tw/37299
天天開心,None,40.9~61.4,將軍區漚汪長榮路91號旁,將軍區漚汪長榮路91號旁,https://tainan.housetube.tw/37228
文美學,None,129~173,北區文賢三街328號,北區文賢三街328號,https://tainan.housetube.tw/37221
湖美画峰,None,未提供,中西區中華西路二段646巷,中西區中華西路二段646巷,https://tainan.housetube.tw/37202
富築新院2,None,48~67,西港區雙營段,西港區雙營段,https://tainan.housetube.tw/37197
旺第好境,None,50.9~60.8,安南區安和路一段478巷,安南區安和路一段478巷,https://tainan.housetube.tw/37186
郡豐帝堡,None,121~141,永康區永興路387號,永康區永興路387號,https://tainan.housetube.tw/37174
東知曉,None,位址:,重劃區,台南市安南區新宅三街51號對面,https://tainan.housetube.tw/37171
東京101,None,63,位址:,東區東興路101號,https://tainan.housetube.tw/37147
藏樂III,None,未提供,台南市北區民德路90巷101號對面,台南市北區民德路90巷101號對面,https://tainan.housetube.tw/37143
綠矽歸仁,None,45~60,歸仁區大仁三街23巷旁,歸仁區大仁三街23巷旁,https://tainan.housetube.tw/37140
閑築居2,None,48~70,仁德區中正路一段140號,仁德區中正路一段140號,https://tainan.housetube.tw/37139
儷璟荷風,None,52~57,關廟區新埔二街,關廟區新埔二街,https://tainan.housetube.tw/37138
陽光米蘭6,None,52起,東山區東山里南100-1市道上(幸福幼稚園斜對面),東山區東山里南100-1市道上(幸福幼稚園斜對面),https://tainan.housetube.tw/37125
賦居,None,136.9起,台南市安平區健康三街460巷16號,台南市安平區健康三街460巷16號,https://tainan.housetube.tw/37122
南科文華苑,None,58~63,台南市善化區牛庄47-1,台南市善化區牛庄47-1,https://tainan.housetube.tw/37117
吉緣城8,None,61起,台南市七股區永吉里18-20號,台南市七股區永吉里18-20號,https://tainan.housetube.tw/37115
雪樹公寓,None,位址:,社區,安平區育平八街70號,https://tainan.housetube.tw/37103
安之邑5,None,49~52,安南區鎮安路和鎮安二街口,安南區鎮安路和鎮安二街口,https://tainan.housetube.tw/37101
餘光計畫,None,82.3~86.2,安平區漁光路119巷,安平區漁光路119巷,https://tainan.housetube.tw/37100
新仕城NO.6,None,55~63,西港區南海里南海埔128號對面,西港區南海里南海埔128號對面,https://tainan.housetube.tw/37084
夏川6,None,未提供,位址:,歸仁區大成路206巷,https://tainan.housetube.tw/37083
九份樂活居3,None,未提供,安南區樂活五街與樂活路口,安南區樂活五街與樂活路口,https://tainan.housetube.tw/37069
和紘北安公園,None,25~39,安南區北安路二段501-1號旁,安南區北安路二段501-1號旁,https://tainan.housetube.tw/37068
欣園堡No.5,None,41.6~51,永康區龍中街777巷,永康區龍中街777巷,https://tainan.housetube.tw/37047
綠寬居6,None,48~54,台南市仁德區中洲十一街135號,台南市仁德區中洲十一街135號,https://tainan.housetube.tw/36975
MoMA12美美,None,位址:,明星學區,歸仁區信義南路221巷,https://tainan.housetube.tw/36974
文南院,None,91~92,文南路與文南路105巷,文南路與文南路105巷,https://tainan.housetube.tw/36962
寶石捷,None,未提供,位址:,未提供,https://tainan.housetube.tw/36959
吉億擁恆2,None,48~71,台南市安南區總安街一段362巷101號,台南市安南區總安街一段362巷101號,https://tainan.housetube.tw/36957
青天波,None,位址:,創意空間,安定區港口段2698等地號,https://tainan.housetube.tw/36927
崇善會邸,None,未提供,東區崇善一街3巷6弄17號,東區崇善一街3巷6弄17號,https://tainan.housetube.tw/36902
賦居2,None,53起,未提供,未提供,https://tainan.housetube.tw/36884
元聚2,None,45~54,未提供,未提供,https://tainan.housetube.tw/36874
皇寶NO.3,None,位址:,低總價,台南市下營區中華街55號(中山路一段  VS健康路口)/全聯超市旁,https://tainan.housetube.tw/36865
日暮里,None,43.5~47,新市大營里,新市大營里,https://tainan.housetube.tw/36861
陶喜大賞-樂活墅,None,45.3~57.3,台南市安南區郡安路六段120巷20號,台南市安南區郡安路六段120巷20號,https://tainan.housetube.tw/36860
心迎風彩,None,未提供,台南市新營區建國路285號旁,台南市新營區建國路285號旁,https://tainan.housetube.tw/36859
自由自在3,None,49~56,台南市歸仁區民生12街115巷口,台南市歸仁區民生12街115巷口,https://tainan.housetube.tw/36858
四角天鼎,None,未提供,未提供,未提供,https://tainan.housetube.tw/36847
原承沐白,None,52.4~53,白河區三民路63號,白河區三民路63號,https://tainan.housetube.tw/36845
心心相印5,None,位址:,明星學區,安南區鎮安路和鎮安六街口,https://tainan.housetube.tw/36835
白樹3,None,50~54.8,台南市安南區淵西二街28號,台南市安南區淵西二街28號,https://tainan.housetube.tw/36795
花旗透天別墅,None,51起,近國姓橋下,近國姓橋下,https://tainan.housetube.tw/36786
人和樂,None,位址:,社區,台南市東區仁和路147巷,https://tainan.housetube.tw/36777
貝森朵夫8,None,未提供,台南市善化區西拉雅大道上,台南市善化區西拉雅大道上,https://tainan.housetube.tw/36766
太子峰雲,None,72~102,新營區隋唐街13號,新營區隋唐街13號,https://tainan.housetube.tw/36761
高第東院,None,66~111,東區富農街一段89巷 x 東成街71巷,東區富農街一段89巷 x 東成街71巷,https://tainan.housetube.tw/36760
大傳WH5,None,位址:,,中西區協和街45號,https://tainan.housetube.tw/36759
富品邸2,None,80起,龍中街695巷,龍中街695巷,https://tainan.housetube.tw/36738
鑫宥春風NO.5,None,位址:,明星學區,仁德區德洋二街77號,https://tainan.housetube.tw/36706
富琚育安,None,62~95,台南市安南區安和路與台江大道一段交叉口,台南市安南區安和路與台江大道一段交叉口,https://tainan.housetube.tw/36705
健康南師,None,未提供,位址:,中西區健康路一段140巷,https://tainan.housetube.tw/36690
城市樂章（華廈）,None,位址:,社區,永康區大安街468巷12號,https://tainan.housetube.tw/36678
湖美藝朗,None,位址:,社區,台南市中西區中華西路二段646巷,https://tainan.housetube.tw/36675
永康首贊,None,未提供,永康區竹園二街202巷,永康區竹園二街202巷,https://tainan.housetube.tw/36670
玄鴻首賦六期,None,55~65,靠近松林國小旁邊,靠近松林國小旁邊,https://tainan.housetube.tw/36664
玄鴻首賦五期,None,26~33,位址:,台南市佳里區南勢街,https://tainan.housetube.tw/36663
富裕人生No.16,None,44.4~46.1,安南區府安路五段11巷35弄70號旁,安南區府安路五段11巷35弄70號旁,https://tainan.housetube.tw/36662
美夢成真,None,22~33,台南市安平區建平十二街80號,台南市安平區建平十二街80號,https://tainan.housetube.tw/36652
璞御,None,62~71,麻豆區興國路31巷,麻豆區興國路31巷,https://tainan.housetube.tw/36651
大砌好宅,None,67~70,安定區管寮138-10,安定區管寮138-10,https://tainan.housetube.tw/36647
天朗,None,未提供,南區鯤鯓路102巷38弄38號,南區鯤鯓路102巷38弄38號,https://tainan.housetube.tw/36640
景禾雅2,None,59起,南區鹽埕路291巷32弄,南區鹽埕路291巷32弄,https://tainan.housetube.tw/36623
安和院,None,50~59,安南區安和路一段220巷,安南區安和路一段220巷,https://tainan.housetube.tw/36611
上善天墅,None,140~147,台南市佳里區育善街225號,台南市佳里區育善街225號,https://tainan.housetube.tw/36610
悠境,None,53~55,七股區大寮79-1~5號,七股區大寮79-1~5號,https://tainan.housetube.tw/36588
美麗六甲,None,未提供,未提供,未提供,https://tainan.housetube.tw/36587
龍騰鑫左岸,None,位址:,捷運宅,永華路一段288號,https://tainan.housetube.tw/36586
宗大遇州南,None,47~116,台南市安南區州南路與州南三街口,台南市安南區州南路與州南三街口,https://tainan.housetube.tw/36572
河樂家,None,42~50,台南市安定區安加里,台南市安定區安加里,https://tainan.housetube.tw/36571
真祥家2,None,61起,台南市善化區和平路221號對面,台南市善化區和平路221號對面,https://tainan.housetube.tw/36566
首富堡3,None,38~49,新市區東大社段,新市區東大社段,https://tainan.housetube.tw/36562
邰欣地堡80期,None,51~79,台南市安南區永續18街及永續22街口,台南市安南區永續18街及永續22街口,https://tainan.housetube.tw/36555
創兆恬心,None,位址:,明星學區,台南市仁德區太子二街41巷83號85號,https://tainan.housetube.tw/36534
名佳美18,None,45~71,安南區城西街二段108巷112號,安南區城西街二段108巷112號,https://tainan.housetube.tw/36530
逸文,None,73起,台南市安定區許中營38之10號,台南市安定區許中營38之10號,https://tainan.housetube.tw/36515
歐香公園NO.21,None,49~95,長和路四段X鎮安六街,長和路四段X鎮安六街,https://tainan.housetube.tw/36511
海聚聚作,None,49~67,仁德區仁德三街,仁德區仁德三街,https://tainan.housetube.tw/36510
六甲旺家園NO.5,None,23~32,位址:,六甲區中華路252號對面,https://tainan.housetube.tw/36505
富豪雅築,None,位址:,社區,台南市安南區安豐五街,https://tainan.housetube.tw/36502
好城家,None,58~75,安南區安中路六段和城安三街口,安南區安中路六段和城安三街口,https://tainan.housetube.tw/36485
吉祥園庭9,None,74起,南區省躬三街313號旁,南區省躬三街313號旁,https://tainan.housetube.tw/36484
成大喜悅3,None,45~53,關廟區中山路二段165巷116號,關廟區中山路二段165巷116號,https://tainan.housetube.tw/36456
公園巴洛克10,None,未提供,柳營區士賢街,柳營區士賢街,https://tainan.housetube.tw/36450
三代墅NO.12,None,63~81,新營區東興路與東興九街口,新營區東興路與東興九街口,https://tainan.housetube.tw/36427
公園苑,None,35.4,位址:,善化區永福路(牛墟公園),https://tainan.housetube.tw/36396
誠銳天籟-透天店住,None,28起,位址:,佳里區安南路與復興路口,https://tainan.housetube.tw/36381
傳家堡6期,None,54~55,未提供,未提供,https://tainan.housetube.tw/36357
創世紀,None,39起,位址:,裕忠路672號,https://tainan.housetube.tw/36356
春暖花開,None,未提供,六甲區龜港里80巷,六甲區龜港里80巷,https://tainan.housetube.tw/36355
九莊,None,46.1~64.6,台南市善化區成功3巷,台南市善化區成功3巷,https://tainan.housetube.tw/36333
有喜墅,None,53.8~67.6,台南市安南區南區舉喜重劃區,台南市安南區南區舉喜重劃區,https://tainan.housetube.tw/36316
吾映良品15,None,24.7~35.7,六甲區民權路320巷30號對面,六甲區民權路320巷30號對面,https://tainan.housetube.tw/36313
百阜囍樂9,None,未提供,安南區安中路一段220巷,安南區安中路一段220巷,https://tainan.housetube.tw/36310
柏慶富御,None,47.8~82.1,安南區新宅路與新宅五街口(總安重劃區),安南區新宅路與新宅五街口(總安重劃區),https://tainan.housetube.tw/36298
福灣寬庭6,None,未提供,位址:,台南市南區明興路1156號對面,https://tainan.housetube.tw/36297
永康首府2,None,未提供,塩忠街‧塩行路139號,塩忠街‧塩行路139號,https://tainan.housetube.tw/36278
金艷富邸5,None,44~52,台南市新營區五間厝73之1旁邊,台南市新營區五間厝73之1旁邊,https://tainan.housetube.tw/36259
西門拾馥,None,未提供,北區西門路四段507巷(近西門路上),北區西門路四段507巷(近西門路上),https://tainan.housetube.tw/36251
力璞寓,None,位址:,社區,佳里區佳南路225巷,https://tainan.housetube.tw/36248
邰欣地堡81期,None,51.9~63.7,永康區大灣路40巷,永康區大灣路40巷,https://tainan.housetube.tw/36246
森之邸,None,30.75~46.69,台南市永康區勝華街98巷20號,台南市永康區勝華街98巷20號,https://tainan.housetube.tw/36245
上青,None,未提供,善化區六分寮大同國小附近,善化區六分寮大同國小附近,https://tainan.housetube.tw/36244
如意,None,63.1起,歸仁區武東二街20巷46號,歸仁區武東二街20巷46號,https://tainan.housetube.tw/36243
鼎立新東NO.29,None,63~63,新營區東林街15號旁,新營區東林街15號旁,https://tainan.housetube.tw/36236
樂陶NO.30,None,55.4~55.4,楠西區楠中段748號,楠西區楠中段748號,https://tainan.housetube.tw/36235
茴香,None,位址:,社區,六分寮,https://tainan.housetube.tw/36224
幸福100 NO.12,None,未提供,位址:,學甲區中華路二段與建國路路口,https://tainan.housetube.tw/36223
水沐清華,None,60~64,台南市南區萬年七街537號,台南市南區萬年七街537號,https://tainan.housetube.tw/36222
森美學NO.13,None,60起,新營區東興9街,新營區東興9街,https://tainan.housetube.tw/36221
吾映良品13,None,42~52,台南市善化區什美段743地號,台南市善化區什美段743地號,https://tainan.housetube.tw/36211
璞墅2,None,38.5起,東勢寮,東勢寮,https://tainan.housetube.tw/36209
六甲狀元第-方正5,None,28~58,位址:,六甲區七甲街17巷內,https://tainan.housetube.tw/36206
年年如意92期-良勳圓周綠,None,位址:,社區,安南區州南二街和州南三街口,https://tainan.housetube.tw/36183
花漾年華6,None,未提供,公塭段安興街181巷,公塭段安興街181巷,https://tainan.housetube.tw/36180
富二代,None,74.3~95,東區崇學路142巷10弄,東區崇學路142巷10弄,https://tainan.housetube.tw/36163
舜展御品,None,29.7~36,位址:,台南市永康區文賢街387號,https://tainan.housetube.tw/36139
晴空樓,None,位址:,首購,永康區大同街,https://tainan.housetube.tw/36138
清境莊園2,None,47~55,台南市西港區後營171-5,台南市西港區後營171-5,https://tainan.housetube.tw/36132
當代逸墅13,None,56~65,安中路一段130巷,安中路一段130巷,https://tainan.housetube.tw/36114
市心CASA,None,位址:,社區,善化區中正路x光明路,https://tainan.housetube.tw/36101
長榮泰山,None,位址:,明星學區,台南市東區長榮路二段32巷46弄,https://tainan.housetube.tw/36078
家多美,None,60~82,西港忠孝街崛子頭53號對面,西港忠孝街崛子頭53號對面,https://tainan.housetube.tw/36070
